"TaskName","TaskPath","Description","Actions","Arguments"
"Sysprep Generalize Drivers","\Microsoft\Windows\Plug and Play\","Generalize driver state in order to prepare the system to be bootable on any hardware configuration.","%SystemRoot%\System32\drvinst.exe","6"
"AnalyzeSystem","\Microsoft\Windows\Power Efficiency Diagnostics\","This task analyzes the system looking for conditions that may cause high energy use.","",""
"LoginCheck","\Microsoft\Windows\PushToInstall\",,"%windir%\system32\sc.exe","start pushtoinstall login"
"Registration","\Microsoft\Windows\PushToInstall\",,"%windir%\system32\sc.exe","start pushtoinstall registration"
"MobilityManager","\Microsoft\Windows\Ras\","Provides support for the switching of mobility enabled VPN connections if their underlying interface goes down.","",""
"VerifyWinRE","\Microsoft\Windows\RecoveryEnvironment\","Validates the Windows Recovery Environment.","",""
"RegIdleBackup","\Microsoft\Windows\Registry\","Registry Idle Backup Task","",""
"CleanupOldPerfLogs","\Microsoft\Windows\Server Manager\",,"%systemroot%\system32\cscript.exe","/B /nologo %systemroot%\system32\calluxxprovider.vbs $(Arg0) $(Arg1) $(Arg2)"
"ServerManager","\Microsoft\Windows\Server Manager\","Task for launching Initial Configuration Tasks or Server Manager at logon.","%windir%\system32\ServerManagerLauncher.exe",""
"StartComponentCleanup","\Microsoft\Windows\Servicing\",,"",""
"Account Cleanup","\Microsoft\Windows\SharedPC\",,"%windir%\System32\rundll32.exe","%windir%\System32\Windows.SharedPC.AccountManager.dll,StartMaintenance"
"CreateObjectTask","\Microsoft\Windows\Shell\","Provides support for shell components that access system data","",""
"IndexerAutomaticMaintenance","\Microsoft\Windows\Shell\","Keeps the search index up to date","",""
"Collection","\Microsoft\Windows\Software Inventory Logging\",,"%systemroot%\system32\cmd.exe","/d /c %systemroot%\system32\silcollector.cmd publish"
"Configuration","\Microsoft\Windows\Software Inventory Logging\",,"%systemroot%\system32\cmd.exe","/d /c %systemroot%\system32\silcollector.cmd configure"
"SvcRestartTask","\Microsoft\Windows\SoftwareProtectionPlatform\","This task restarts the Software Protection Platform service at the specified time","",""
"SvcRestartTaskLogon","\Microsoft\Windows\SoftwareProtectionPlatform\","This task restarts the Software Protection Platform service when user logon occurs","",""
"SvcRestartTaskNetwork","\Microsoft\Windows\SoftwareProtectionPlatform\","This task restarts the Software Protection Platform service when a new network is detected","",""
"SpaceAgentTask","\Microsoft\Windows\SpacePort\","Storage Spaces Settings","%windir%\system32\SpaceAgent.exe",""
"SpaceManagerTask","\Microsoft\Windows\SpacePort\","$(@%SystemRoot%\system32\spaceman.exe,-3)","%windir%\system32\spaceman.exe","/Work"
"HeadsetButtonPress","\Microsoft\Windows\Speech\",,"%windir%\system32\speech_onecore\common\SpeechRuntime.exe","StartedFromTask"
"SpeechModelDownloadTask","\Microsoft\Windows\Speech\",,"%windir%\system32\speech_onecore\common\SpeechModelDownload.exe",""
"Storage Tiers Management Initialization","\Microsoft\Windows\Storage Tiers Management\","Initializes the Storage Tiers Management service when the first tiered storage space is detected on the system. Do not remove or modify this task.","",""
"Storage Tiers Optimization","\Microsoft\Windows\Storage Tiers Management\","Optimizes the placement of data in storage tiers on all tiered storage spaces in the system.","%windir%\system32\defrag.exe","-c -h -g -# -m 8 -i 13500"
"Interactive","\Microsoft\Windows\Task Manager\","Runs a task as the interactive user.","",""
"MsCtfMonitor","\Microsoft\Windows\TextServicesFramework\","TextServicesFramework monitor task","",""
"ForceSynchronizeTime","\Microsoft\Windows\Time Synchronization\","This task performs time synchronization.","",""
"SynchronizeTime","\Microsoft\Windows\Time Synchronization\","Maintains date and time synchronization on all clients and servers in the network. If this service is stopped, date and time synchronization will be unavailable. If this service is disabled, any services that explicitly depend on it will fail to start.","%windir%\system32\sc.exe","start w32time task_started"
"SynchronizeTimeZone","\Microsoft\Windows\Time Zone\","Updates timezone information. If this task is stopped, local time may not be accurate for some time zones.","%windir%\system32\tzsync.exe",""
"Tpm-HASCertRetr","\Microsoft\Windows\TPM\","This task requests a Health Attestation Certificate.","",""
"Tpm-Maintenance","\Microsoft\Windows\TPM\","This task supports the Trusted Platform Module (TPM) by performing background actions on behalf of the OS.","",""
"Backup Scan","\Microsoft\Windows\UpdateOrchestrator\",,"%systemroot%\system32\usoclient.exe","StartScan"
"MusUx_UpdateInterval","\Microsoft\Windows\UpdateOrchestrator\",,"%systemroot%\system32\MusNotification.exe","LogonDisplay"
"Schedule Scan","\Microsoft\Windows\UpdateOrchestrator\",,"%systemroot%\system32\usoclient.exe","StartScan"
"Schedule Scan Static Task","\Microsoft\Windows\UpdateOrchestrator\","This task performs a scheduled Windows Update scan.","%systemroot%\system32\usoclient.exe","StartScan"
"USO_UxBroker","\Microsoft\Windows\UpdateOrchestrator\","This task triggers a system reboot following update installation.","%systemroot%\system32\MusNotification.exe",""
"UPnPHostConfig","\Microsoft\Windows\UPnP\","Set UPnPHost service to Auto-Start","sc.exe","config upnphost start= auto"
"HiveUploadTask","\Microsoft\Windows\User Profile Service\","This task will automatically upload a roaming user profile's registry hive to its network location.","",""
"PerformRemediation","\Microsoft\Windows\WaaSMedic\","Helps recover update-related services to the supported configuration.","",""
"ResolutionHost","\Microsoft\Windows\WDI\","The Windows Diagnostic Infrastructure Resolution host enables interactive resolutions for system problems detected by the Diagnostic Policy Service. It is triggered when necessary by the Diagnostic Policy Service in the appropriate user session. If the Diagnostic Policy Service is not running, the task will not run","",""
"Windows Defender Cache Maintenance","\Microsoft\Windows\Windows Defender\","Periodic maintenance task.","C:\ProgramData\Microsoft\Windows Defender\platform\4.18.23090.2008-0\MpCmdRun.exe","-IdleTask -TaskName WdCacheMaintenance"
"Windows Defender Cleanup","\Microsoft\Windows\Windows Defender\","Periodic cleanup task.","C:\ProgramData\Microsoft\Windows Defender\platform\4.18.23090.2008-0\MpCmdRun.exe","-IdleTask -TaskName WdCleanup"
"Windows Defender Scheduled Scan","\Microsoft\Windows\Windows Defender\","Periodic scan task.","C:\ProgramData\Microsoft\Windows Defender\platform\4.18.23090.2008-0\MpCmdRun.exe","Scan -ScheduleJob -ScanTrigger 55 -IdleScheduledJob"
"Windows Defender Verification","\Microsoft\Windows\Windows Defender\","Periodic verification task.","C:\ProgramData\Microsoft\Windows Defender\platform\4.18.23090.2008-0\MpCmdRun.exe","-IdleTask -TaskName WdVerification"
"QueueReporting","\Microsoft\Windows\Windows Error Reporting\","Windows Error Reporting task to process queued reports.","%windir%\system32\wermgr.exe","-upload"
"BfeOnServiceStartTypeChange","\Microsoft\Windows\Windows Filtering Platform\","This task adjusts the start type for firewall-triggered services when the start type of the Base Filtering Engine (BFE) is disabled.","%windir%\system32\rundll32.exe","bfe.dll,BfeOnServiceStartTypeChange"
"UpdateLibrary","\Microsoft\Windows\Windows Media Sharing\","This task updates the cached list of folders and the security permissions on any new files in a user?s shared media library.","""%ProgramFiles%\Windows Media Player\wmpnscfg.exe""",""
"Calibration Loader","\Microsoft\Windows\WindowsColorSystem\","This task applies color calibration settings.","",""
"Scheduled Start","\Microsoft\Windows\WindowsUpdate\","This task is used to start the Windows Update service when needed to perform scheduled operations such as scans.","C:\Windows\system32\sc.exe","start wuauserv"
"CacheTask","\Microsoft\Windows\Wininet\","Wininet Cache Task","",""
"Automatic-Device-Join","\Microsoft\Windows\Workplace Join\","Register this computer if the computer is already joined to an Active Directory domain.","%SystemRoot%\System32\dsregcmd.exe","$(Arg0) $(Arg1) $(Arg2)"
"Recovery-Check","\Microsoft\Windows\Workplace Join\","Performs recovery check.","%SystemRoot%\System32\dsregcmd.exe","/checkrecovery"
"Firefox Background Update 308046B0AF4A39CB","\Mozilla\","The Background Update task checks for updates to Firefox when Firefox is not running. This task is installed automatically by Firefox, and is reinstalled when Firefox runs. To disable this task, update the browser settings or the Firefox enterprise policy setting ?BackgroundAppUpdate?.","C:\Program Files\Mozilla Firefox\firefox.exe","--MOZ_LOG sync,prependheader,timestamp,append,maxsize:1,Dump:5 --MOZ_LOG_FILE C:\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate.moz_log --backgroundtask backgroundupdate"
